timestamp,claim_text,loss_type,severity,asset,estimated_loss,incident_date,location,confidence,explanation
2025-12-04T02:16:17,"Car accident on main road, rear bumper damaged and minor scratches on door. No injuries reported.",Vehicle,Low,Car,Unknown,Unknown,Main road (unspecified),High,Minor vehicle damage to a car's rear bumper and door with no reported injuries.
2025-12-04T02:18:07,"Car accident on main road, rear bumper damaged and minor scratches on door. No injuries reported.",Vehicle,Low,Car,Unknown,Unknown,Main road,High,Minor vehicle damage to a car's rear bumper and door with no reported injuries.
2025-12-04T03:37:03,"Car accident on main road, rear bumper damaged and minor scratches on door. No injuries reported.",Vehicle,Low,Car,Unknown,Unknown,Main road (unspecified),High,"Minor vehicle accident on a main road resulting in damage to the rear bumper and minor scratches on the door, with no reported injuries."
2025-12-04T03:46:52,"Car accident on main road, rear bumper damaged and minor scratches on door. No injuries reported.",Vehicle,Low,Car,Unknown,Unknown,Main road (unspecified),High,"Minor vehicle accident on a main road resulting in damage to the rear bumper and minor scratches on the door, with no reported injuries."
2025-12-04T03:58:31,"Car accident on main road, rear bumper damaged and minor scratches on door. No injuries reported.",Vehicle,Low,Car,Unknown,Unknown,Main road (unspecified),High,"Minor vehicle accident on a main road resulting in damage to the rear bumper and minor scratches on the door, with no reported injuries."
2025-12-04T04:00:23,"Mobile phone slipped from hand, screen shattered and back panel cracked.",Device,Low,Mobile phone,Unknown,Unknown,Unknown,Medium,"A mobile phone was dropped, resulting in a damaged screen and back panel."
2025-12-04T04:02:45,"Fire in living room due to short circuit, sofa and TV unit completely burnt.",Fire,High,"Living Room (Furniture: Sofa, TV Unit)",Unknown,Unknown,Unknown,High,This is a high severity fire loss affecting living room furniture (sofa and TV unit).
2025-12-04T04:04:42,"Water leakage from bathroom pipeline seeped into the bedroom wall, paint and plaster damaged.",Water Damage,Medium,Building,Unknown,Unknown,Unknown,Medium,Water leakage from a bathroom pipeline caused damage to a bedroom wall.
2025-12-04T10:33:56,"Fire in living room due to short circuit, sofa and TV unit completely burnt.",Fire,High,Living Room (Furniture),Unknown,Unknown,Unknown,High,"This is a high severity fire loss affecting living room furniture, including a sofa and TV unit."
2025-12-04T10:37:29,my 70kg chicken got burnt to a crisp,Fire,High,Chicken,Unknown,Unknown,Unknown,Medium,"The claim describes a loss event involving a chicken that was burnt, implying a high severity loss, but the exact location and incident date are unclear."
2025-12-04T10:48:14,"Fire in living room due to short circuit, sofa and TV unit completely burnt.",Fire,High,"Living Room (Furniture: Sofa, TV Unit)",Unknown,Unknown,Unknown,High,This is a high severity fire loss affecting living room furniture (sofa and TV unit).
2025-12-04T10:53:14,"Fire in living room due to short circuit, sofa and TV unit completely burnt.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not provided
2025-12-04T10:58:10,"Fire in living room due to short circuit, sofa and TV unit completely burnt.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not provided
2025-12-04T11:15:47,"Fire in living room due to short circuit, sofa and TV unit completely burnt.",Fire,High,Living Room (Furniture),Unknown,Unknown,Unknown,High,"This is a high severity fire loss affecting living room furniture, including a sofa and TV unit."
2025-12-04T11:24:35,"Water leakage from bathroom pipeline seeped into the bedroom wall, paint and plaster damaged.",Water Damage,Medium,Building,Unknown,Unknown,Unknown,Medium,Water damage to a building with affected areas including the bedroom wall.
2025-12-04T11:33:59,"Car accident on main road, rear bumper damaged and minor scratches on door. No injuries reported.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not provided
2025-12-04T12:31:08,"Fire in living room due to short circuit, sofa and TV unit completely burnt.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not provided
2025-12-04T13:25:23,My 70 kg chicken got burnt in a crisp,Fire,High,Chicken,Unknown,Unknown,Unknown,Medium,This claim describes a high severity loss event involving a chicken that was burnt.
2025-12-04T13:57:38,"Car accident on narendra nagar road, nagpur. rear bumper damaged and minor scratches on door. happened today. estimated loss i feel is around 17000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not provided
